Név,Dátum,Utolsó ár,Mennyiség
ANY,2014.11.05.,892.0,5550.0
ANY,2014.11.06.,890.0,12285.0
ANY,2014.11.07.,880.0,6482.0
ANY,2014.11.10.,885.0,4455.0
ANY,2014.11.11.,889.0,4932.0
ANY,2014.11.12.,895.0,2277.0
ANY,2014.11.13.,887.0,1582.0
ANY,2014.11.14.,879.0,1011.0
ANY,2014.11.17.,888.0,30966.0
ANY,2014.11.18.,896.0,6131.0
ANY,2014.11.19.,890.0,531.0
ANY,2014.11.20.,897.0,22674.0
ANY,2014.11.21.,886.0,1412.0
ANY,2014.11.24.,888.0,7814.0
ANY,2014.11.25.,861.0,46065.0
ANY,2014.11.26.,865.0,2757.0
ANY,2014.11.27.,870.0,1970.0
ANY,2014.11.28.,867.0,228.0
ANY,2014.12.01.,870.0,1787.0
ANY,2014.12.02.,873.0,21698.0
ANY,2014.12.03.,875.0,4631.0
ANY,2014.12.04.,874.0,18816.0
ANY,2014.12.05.,890.0,52313.0
ANY,2014.12.08.,890.0,11499.0
ANY,2014.12.09.,890.0,9128.0
ANY,2014.12.10.,880.0,4710.0
ANY,2014.12.11.,874.0,7225.0
ANY,2014.12.12.,885.0,5.0
ANY,2014.12.15.,880.0,2112.0
ANY,2014.12.16.,865.0,6952.0
ANY,2014.12.17.,865.0,6362.0
ANY,2014.12.18.,870.0,8183.0
ANY,2014.12.19.,864.0,15761.0
ANY,2014.12.22.,879.0,972.0
ANY,2014.12.23.,868.0,32927.0
ANY,2014.12.29.,879.0,6130.0
ANY,2014.12.30.,880.0,4002.0
ANY,2015.01.05.,850.0,31269.0
ANY,2015.01.06.,848.0,12843.0
ANY,2015.01.07.,849.0,2030.0
ANY,2015.01.08.,858.0,13839.0
ANY,2015.01.09.,869.0,7008.0
ANY,2015.01.12.,855.0,13564.0
ANY,2015.01.13.,890.0,25770.0
ANY,2015.01.14.,886.0,16530.0
ANY,2015.01.15.,873.0,7041.0
ANY,2015.01.16.,869.0,33650.0
ANY,2015.01.19.,870.0,1308.0
ANY,2015.01.20.,851.0,52603.0
ANY,2015.01.21.,855.0,2244.0
ANY,2015.01.22.,869.0,10627.0
ANY,2015.01.23.,870.0,1907.0
ANY,2015.01.26.,860.0,13434.0
ANY,2015.01.27.,858.0,3558.0
ANY,2015.01.28.,859.0,18359.0
ANY,2015.01.29.,860.0,11669.0
ANY,2015.01.30.,858.0,2700.0
ANY,2015.02.02.,860.0,5935.0
ANY,2015.02.03.,865.0,7488.0
ANY,2015.02.04.,864.0,12939.0
ANY,2015.02.05.,860.0,4325.0
ANY,2015.02.06.,870.0,4857.0
ANY,2015.02.09.,872.0,6559.0
ANY,2015.02.10.,886.0,11128.0
ANY,2015.02.11.,871.0,7786.0
ANY,2015.02.12.,880.0,7127.0
ANY,2015.02.13.,880.0,8050.0
ANY,2015.02.16.,882.0,4023.0
ANY,2015.02.17.,880.0,3350.0
ANY,2015.02.18.,897.0,37329.0
ANY,2015.02.19.,890.0,4649.0
ANY,2015.02.20.,899.0,27123.0
ANY,2015.02.23.,900.0,11341.0
ANY,2015.02.24.,900.0,8893.0
ANY,2015.02.25.,909.0,7924.0
ANY,2015.02.26.,915.0,13413.0
ANY,2015.02.27.,918.0,8218.0
ANY,2015.03.02.,920.0,12926.0
ANY,2015.03.03.,920.0,6459.0
ANY,2015.03.04.,917.0,2138.0
ANY,2015.03.05.,913.0,8427.0
ANY,2015.03.06.,923.0,2201.0
ANY,2015.03.09.,934.0,16692.0
ANY,2015.03.10.,960.0,83209.0
ANY,2015.03.11.,950.0,39995.0
ANY,2015.03.12.,950.0,11886.0
ANY,2015.03.13.,955.0,21561.0
ANY,2015.03.16.,950.0,52510.0
ANY,2015.03.17.,950.0,15721.0
ANY,2015.03.18.,950.0,25382.0
ANY,2015.03.19.,954.0,3948.0
ANY,2015.03.20.,950.0,27742.0
ANY,2015.03.23.,955.0,13040.0
ANY,2015.03.24.,958.0,11741.0
ANY,2015.03.25.,954.0,18497.0
ANY,2015.03.26.,960.0,4908.0
ANY,2015.03.27.,960.0,3049.0
ANY,2015.03.30.,960.0,14704.0
ANY,2015.03.31.,960.0,44542.0
ANY,2015.04.01.,962.0,14860.0
ANY,2015.04.02.,968.0,16108.0
ANY,2015.04.07.,980.0,29617.0
ANY,2015.04.08.,985.0,20514.0
ANY,2015.04.09.,999.0,17210.0
ANY,2015.04.10.,1002.0,43093.0
ANY,2015.04.13.,1010.0,17294.0
ANY,2015.04.14.,998.0,22095.0
ANY,2015.04.15.,999.0,10856.0
ANY,2015.04.16.,1009.0,16228.0
ANY,2015.04.17.,1015.0,48402.0
ANY,2015.04.20.,1015.0,14774.0
ANY,2015.04.21.,1056.0,72384.0
ANY,2015.04.22.,1080.0,52047.0
ANY,2015.04.23.,1108.0,50429.0
ANY,2015.04.24.,1120.0,35805.0
ANY,2015.04.27.,1138.0,35347.0
ANY,2015.04.28.,1120.0,27968.0
ANY,2015.04.29.,1134.0,60691.0
ANY,2015.04.30.,1129.0,14225.0
ANY,2015.05.04.,1137.0,13083.0
ANY,2015.05.05.,1120.0,5866.0
ANY,2015.05.06.,1101.0,30169.0
ANY,2015.05.07.,1125.0,7367.0
ANY,2015.05.08.,1125.0,18289.0
ANY,2015.05.11.,1115.0,25169.0
ANY,2015.05.12.,1115.0,41506.0
ANY,2015.05.13.,1110.0,29284.0
ANY,2015.05.14.,1108.0,16993.0
ANY,2015.05.15.,1098.0,505368.0
ANY,2015.05.18.,1116.0,24179.0
ANY,2015.05.19.,1119.0,15119.0
ANY,2015.05.20.,1109.0,47828.0
ANY,2015.05.21.,1042.0,53904.0
ANY,2015.05.22.,1015.0,22940.0
ANY,2015.05.26.,989.0,113430.0
ANY,2015.05.27.,1001.0,18721.0
ANY,2015.05.28.,1010.0,6385.0
ANY,2015.05.29.,1014.0,3378.0
ANY,2015.06.01.,1024.0,46126.0
ANY,2015.06.02.,1030.0,14100.0
ANY,2015.06.03.,1023.0,7321.0
ANY,2015.06.04.,1015.0,12124.0
ANY,2015.06.05.,1017.0,3217.0
ANY,2015.06.08.,1007.0,3442.0
ANY,2015.06.09.,1006.0,1499.0
ANY,2015.06.10.,1006.0,3101.0
ANY,2015.06.11.,1014.0,2200.0
ANY,2015.06.12.,1006.0,3659.0
