Név,Dátum,Utolsó ár,Mennyiség
ANY,2015.06.15.,1000.0,14437.0
ANY,2015.06.16.,990.0,8776.0
ANY,2015.06.17.,974.0,5852.0
ANY,2015.06.18.,960.0,8588.0
ANY,2015.06.19.,960.0,7492.0
ANY,2015.06.22.,984.0,15314.0
ANY,2015.06.23.,969.0,3136.0
ANY,2015.06.24.,970.0,916.0
ANY,2015.06.25.,960.0,19545.0
ANY,2015.06.26.,955.0,9074.0
ANY,2015.06.29.,952.0,7720.0
ANY,2015.06.30.,959.0,6750.0
ANY,2015.07.01.,946.0,10585.0
ANY,2015.07.02.,934.0,14166.0
ANY,2015.07.03.,921.0,157565.0
ANY,2015.07.06.,939.0,11223.0
ANY,2015.07.07.,940.0,91870.0
ANY,2015.07.08.,943.0,7631.0
ANY,2015.07.09.,955.0,4152.0
ANY,2015.07.10.,955.0,10915.0
ANY,2015.07.13.,969.0,2546.0
ANY,2015.07.14.,992.0,142716.0
ANY,2015.07.15.,990.0,13134.0
ANY,2015.07.16.,1020.0,4933.0
ANY,2015.07.17.,1017.0,3596.0
ANY,2015.07.20.,1005.0,3453.0
ANY,2015.07.21.,1015.0,2307.0
ANY,2015.07.22.,1000.0,10531.0
ANY,2015.07.23.,1015.0,2619.0
ANY,2015.07.24.,1019.0,347.0
ANY,2015.07.27.,1015.0,3263.0
ANY,2015.07.28.,1018.0,1063.0
ANY,2015.07.29.,1010.0,8162.0
ANY,2015.07.30.,1005.0,1590.0
ANY,2015.07.31.,1015.0,528.0
ANY,2015.08.03.,1015.0,467.0
ANY,2015.08.04.,1014.0,312.0
ANY,2015.08.05.,1010.0,1521.0
ANY,2015.08.06.,1016.0,3075.0
ANY,2015.08.07.,1016.0,800.0
ANY,2015.08.10.,1016.0,2005.0
ANY,2015.08.11.,1015.0,330.0
ANY,2015.08.12.,1005.0,4402.0
ANY,2015.08.13.,1014.0,2235.0
ANY,2015.08.14.,1014.0,1508.0
ANY,2015.08.17.,1016.0,3310.0
ANY,2015.08.18.,1018.0,2581.0
ANY,2015.08.19.,1015.0,1509.0
ANY,2015.08.24.,985.0,17730.0
ANY,2015.08.25.,987.0,13425.0
ANY,2015.08.26.,1003.0,4913.0
ANY,2015.08.27.,1000.0,9704.0
ANY,2015.08.28.,975.0,29723.0
ANY,2015.08.31.,970.0,3715.0
ANY,2015.09.01.,945.0,20507.0
ANY,2015.09.02.,950.0,3509.0
ANY,2015.09.03.,975.0,70339.0
ANY,2015.09.04.,974.0,1449.0
ANY,2015.09.07.,970.0,661.0
ANY,2015.09.08.,954.0,6927.0
ANY,2015.09.09.,969.0,1556.0
ANY,2015.09.10.,967.0,1773.0
ANY,2015.09.11.,960.0,3684.0
ANY,2015.09.14.,960.0,3004.0
ANY,2015.09.15.,949.0,4383.0
ANY,2015.09.16.,948.0,2382.0
ANY,2015.09.17.,949.0,1357.0
ANY,2015.09.18.,959.0,2968.0
ANY,2015.09.21.,955.0,3458.0
ANY,2015.09.22.,951.0,1507.0
ANY,2015.09.23.,941.0,3097.0
ANY,2015.09.24.,932.0,8460.0
ANY,2015.09.25.,951.0,1249.0
ANY,2015.09.28.,940.0,2280.0
ANY,2015.09.29.,935.0,1067.0
ANY,2015.09.30.,931.0,5365.0
ANY,2015.10.01.,937.0,3316.0
ANY,2015.10.02.,948.0,487.0
ANY,2015.10.05.,940.0,14245.0
ANY,2015.10.06.,940.0,352.0
ANY,2015.10.07.,940.0,2322.0
ANY,2015.10.08.,950.0,5698.0
ANY,2015.10.09.,958.0,5130.0
ANY,2015.10.12.,953.0,635.0
ANY,2015.10.13.,958.0,661.0
ANY,2015.10.14.,953.0,402.0
ANY,2015.10.15.,950.0,709.0
ANY,2015.10.16.,948.0,480.0
ANY,2015.10.19.,948.0,11198.0
ANY,2015.10.20.,942.0,695.0
ANY,2015.10.21.,942.0,831.0
ANY,2015.10.22.,950.0,469.0
ANY,2015.10.26.,953.0,287.0
ANY,2015.10.27.,950.0,678.0
ANY,2015.10.28.,945.0,645.0
ANY,2015.10.29.,945.0,6924.0
ANY,2015.10.30.,940.0,1293.0
ANY,2015.11.02.,950.0,1250.0
ANY,2015.11.03.,947.0,2459.0
ANY,2015.11.04.,945.0,7197.0
ANY,2015.11.05.,950.0,100064.0
ANY,2015.11.06.,963.0,26315.0
ANY,2015.11.09.,988.0,34438.0
ANY,2015.11.10.,980.0,14001.0
ANY,2015.11.11.,998.0,2255.0
ANY,2015.11.12.,991.0,2772.0
ANY,2015.11.13.,990.0,946.0
ANY,2015.11.16.,984.0,10406.0
ANY,2015.11.17.,980.0,9958.0
ANY,2015.11.18.,994.0,57360.0
ANY,2015.11.19.,995.0,8160.0
ANY,2015.11.20.,991.0,6775.0
ANY,2015.11.23.,990.0,6716.0
ANY,2015.11.24.,1000.0,47463.0
ANY,2015.11.25.,999.0,4140.0
ANY,2015.11.26.,1000.0,7635.0
ANY,2015.11.27.,1001.0,3829.0
ANY,2015.11.30.,998.0,8436.0
ANY,2015.12.01.,1000.0,1936.0
ANY,2015.12.02.,993.0,6861.0
ANY,2015.12.03.,1000.0,12799.0
ANY,2015.12.04.,1000.0,128911.0
ANY,2015.12.07.,1004.0,5367.0
ANY,2015.12.08.,1001.0,6175.0
ANY,2015.12.09.,995.0,196.0
ANY,2015.12.10.,1000.0,3765.0
ANY,2015.12.11.,998.0,4584.0
ANY,2015.12.14.,1000.0,1250.0
ANY,2015.12.15.,1000.0,52448.0
ANY,2015.12.16.,996.0,1211.0
ANY,2015.12.17.,1000.0,3914.0
ANY,2015.12.18.,999.0,3373.0
ANY,2015.12.21.,995.0,37808.0
ANY,2015.12.22.,995.0,2250.0
ANY,2015.12.23.,995.0,2167.0
ANY,2015.12.28.,995.0,3229.0
ANY,2015.12.29.,995.0,13366.0
ANY,2015.12.30.,1020.0,21663.0
ANY,2016.01.04.,1007.0,1642.0
ANY,2016.01.05.,1019.0,1485.0
ANY,2016.01.06.,1017.0,6905.0
ANY,2016.01.07.,1004.0,21614.0
ANY,2016.01.08.,1000.0,9679.0
ANY,2016.01.11.,1005.0,81827.0
ANY,2016.01.12.,1005.0,1229.0
ANY,2016.01.13.,1018.0,9511.0
ANY,2016.01.14.,1020.0,17796.0
ANY,2016.01.15.,1020.0,2589.0
ANY,2016.01.18.,1025.0,16099.0
ANY,2016.01.19.,1020.0,6645.0
ANY,2016.01.20.,1000.0,85340.0
ANY,2016.01.21.,1000.0,19713.0
ANY,2016.01.22.,1026.0,43415.0
ANY,2016.01.25.,1011.0,2096.0
ANY,2016.01.26.,1019.0,427.0
ANY,2016.01.27.,1011.0,9950.0
ANY,2016.01.28.,1024.0,1050.0
ANY,2016.01.29.,1025.0,1240.0
ANY,2016.02.01.,1027.0,21178.0
ANY,2016.02.02.,1018.0,137.0
ANY,2016.02.03.,1006.0,12601.0
ANY,2016.02.04.,1017.0,3054.0
ANY,2016.02.05.,1010.0,7982.0
ANY,2016.02.08.,1002.0,7340.0
ANY,2016.02.09.,1000.0,10744.0
ANY,2016.02.10.,1001.0,31751.0
ANY,2016.02.11.,1002.0,1511.0
ANY,2016.02.12.,1002.0,1926.0
ANY,2016.02.15.,1006.0,56675.0
ANY,2016.02.16.,1011.0,80.0
ANY,2016.02.17.,1001.0,7800.0
ANY,2016.02.18.,1006.0,5227.0
ANY,2016.02.19.,1011.0,42934.0
ANY,2016.02.22.,1021.0,9721.0
ANY,2016.02.23.,1025.0,9070.0
ANY,2016.02.24.,1025.0,5778.0
ANY,2016.02.25.,1034.0,14260.0
ANY,2016.02.26.,1053.0,17267.0
ANY,2016.02.29.,1053.0,2834.0
ANY,2016.03.01.,1066.0,10358.0
ANY,2016.03.02.,1094.0,37051.0
ANY,2016.03.03.,1085.0,32254.0
ANY,2016.03.04.,1090.0,35141.0
ANY,2016.03.07.,1090.0,9489.0
ANY,2016.03.08.,1089.0,8365.0
ANY,2016.03.09.,1086.0,16114.0
ANY,2016.03.10.,1090.0,3876.0
ANY,2016.03.11.,1097.0,6382.0
ANY,2016.03.16.,1100.0,29913.0
ANY,2016.03.17.,1114.0,34603.0
ANY,2016.03.18.,1100.0,64382.0
ANY,2016.03.21.,1090.0,23106.0
ANY,2016.03.22.,1092.0,9276.0
ANY,2016.03.23.,1090.0,10045.0
ANY,2016.03.24.,1087.0,16781.0
ANY,2016.03.29.,1094.0,4928.0
ANY,2016.03.30.,1094.0,24849.0
ANY,2016.03.31.,1092.0,26547.0
ANY,2016.04.01.,1100.0,18631.0
ANY,2016.04.04.,1105.0,8073.0
ANY,2016.04.05.,1097.0,8417.0
ANY,2016.04.06.,1104.0,15308.0
ANY,2016.04.07.,1104.0,16904.0
ANY,2016.04.08.,1103.0,2312.0
ANY,2016.04.11.,1104.0,10898.0
ANY,2016.04.12.,1100.0,14112.0
ANY,2016.04.13.,1089.0,32833.0
ANY,2016.04.14.,1097.0,26205.0
ANY,2016.04.15.,1095.0,13516.0
ANY,2016.04.18.,1100.0,5025.0
ANY,2016.04.19.,1096.0,5691.0
ANY,2016.04.20.,1088.0,9145.0
ANY,2016.04.21.,1096.0,4898.0
ANY,2016.04.22.,1100.0,29742.0
ANY,2016.04.25.,1110.0,31941.0
ANY,2016.04.26.,1110.0,20349.0
ANY,2016.04.27.,1110.0,11959.0
ANY,2016.04.28.,1114.0,11458.0
ANY,2016.04.29.,1113.0,1557.0
ANY,2016.05.02.,1110.0,8143.0
ANY,2016.05.03.,1112.0,8703.0
ANY,2016.05.04.,1110.0,11230.0
ANY,2016.05.05.,1113.0,13228.0
ANY,2016.05.06.,1116.0,11126.0
ANY,2016.05.09.,1115.0,9181.0
ANY,2016.05.10.,1120.0,87877.0
ANY,2016.05.11.,1127.0,4691.0
ANY,2016.05.12.,1123.0,1381.0
ANY,2016.05.13.,1125.0,7053.0
ANY,2016.05.17.,1125.0,15442.0
ANY,2016.05.18.,1130.0,16120.0
ANY,2016.05.19.,1122.0,6116.0
ANY,2016.05.20.,1125.0,8026.0
ANY,2016.05.23.,1123.0,121088.0
ANY,2016.05.24.,1123.0,5343.0
ANY,2016.05.25.,1118.0,22044.0
ANY,2016.05.26.,1119.0,7406.0
ANY,2016.05.27.,1121.0,5651.0
ANY,2016.05.30.,1120.0,8348.0
ANY,2016.05.31.,1115.0,7437.0
ANY,2016.06.01.,1120.0,13660.0
ANY,2016.06.02.,1120.0,6675.0
ANY,2016.06.03.,1122.0,7175.0
ANY,2016.06.06.,1125.0,9619.0
ANY,2016.06.07.,1124.0,28049.0
ANY,2016.06.08.,1120.0,14167.0
ANY,2016.06.09.,1122.0,6882.0
ANY,2016.06.10.,1116.0,19631.0
ANY,2016.06.13.,1100.0,18576.0
ANY,2016.06.14.,1085.0,27834.0
ANY,2016.06.15.,1113.0,48602.0
ANY,2016.06.16.,1118.0,4486.0
ANY,2016.06.17.,1114.0,10273.0
ANY,2016.06.20.,1113.0,5129.0
ANY,2016.06.21.,1111.0,20778.0
ANY,2016.06.22.,1114.0,31687.0
ANY,2016.06.23.,1108.0,8859.0
ANY,2016.06.24.,1092.0,59196.0
ANY,2016.06.27.,1019.0,18464.0
ANY,2016.06.28.,1015.0,5054.0
ANY,2016.06.29.,1015.0,6144.0
ANY,2016.06.30.,1011.0,3654.0
ANY,2016.07.01.,1000.0,16918.0
ANY,2016.07.04.,984.0,14874.0
ANY,2016.07.05.,992.0,7080.0
ANY,2016.07.06.,1000.0,6082.0
ANY,2016.07.07.,1013.0,7784.0
ANY,2016.07.08.,1030.0,33266.0
ANY,2016.07.11.,1025.0,4538.0
ANY,2016.07.12.,1030.0,4066.0
ANY,2016.07.13.,1026.0,1120.0
ANY,2016.07.14.,1030.0,2424.0
ANY,2016.07.15.,1020.0,1613.0
ANY,2016.07.18.,1011.0,3743.0
ANY,2016.07.19.,1025.0,151.0
ANY,2016.07.20.,1026.0,13950.0
ANY,2016.07.21.,1028.0,6293.0
ANY,2016.07.22.,1030.0,9298.0
ANY,2016.07.25.,1034.0,2467.0
ANY,2016.07.26.,1037.0,5088.0
ANY,2016.07.27.,1037.0,788.0
ANY,2016.07.28.,1038.0,14106.0
ANY,2016.07.29.,1050.0,16670.0
ANY,2016.08.01.,1050.0,5181.0
ANY,2016.08.02.,1042.0,11748.0
ANY,2016.08.03.,1040.0,9993.0
ANY,2016.08.04.,1041.0,1000.0
ANY,2016.08.05.,1038.0,6501.0
ANY,2016.08.08.,1035.0,7013.0
ANY,2016.08.09.,1035.0,7716.0
ANY,2016.08.10.,1035.0,2140.0
ANY,2016.08.11.,1035.0,1459.0
ANY,2016.08.12.,1033.0,3308.0
ANY,2016.08.15.,1040.0,3577.0
ANY,2016.08.16.,1056.0,13562.0
ANY,2016.08.17.,1050.0,70832.0
ANY,2016.08.18.,1050.0,129999.0
ANY,2016.08.19.,1055.0,3873.0
ANY,2016.08.22.,1050.0,36236.0
ANY,2016.08.23.,1058.0,9648.0
ANY,2016.08.24.,1054.0,2139.0
ANY,2016.08.25.,1059.0,3312.0
ANY,2016.08.26.,1077.0,27519.0
ANY,2016.08.29.,1075.0,12581.0
ANY,2016.08.30.,1074.0,6175.0
ANY,2016.08.31.,1083.0,31966.0
ANY,2016.09.01.,1085.0,5330.0
ANY,2016.09.02.,1093.0,5079.0
ANY,2016.09.05.,1087.0,10340.0
ANY,2016.09.06.,1092.0,4514.0
ANY,2016.09.07.,1088.0,2637.0
ANY,2016.09.08.,1093.0,3120.0
ANY,2016.09.09.,1093.0,898.0
ANY,2016.09.12.,1084.0,7930.0
ANY,2016.09.13.,1084.0,7960.0
ANY,2016.09.14.,1084.0,1466.0
ANY,2016.09.15.,1078.0,5568.0
ANY,2016.09.16.,1071.0,16211.0
ANY,2016.09.19.,1075.0,12701.0
ANY,2016.09.20.,1075.0,2165.0
ANY,2016.09.21.,1075.0,1527.0
ANY,2016.09.22.,1075.0,3691.0
ANY,2016.09.23.,1079.0,1308.0
ANY,2016.09.26.,1075.0,2660.0
ANY,2016.09.27.,1072.0,1110.0
ANY,2016.09.28.,1064.0,7405.0
ANY,2016.09.29.,1065.0,7087.0
ANY,2016.09.30.,1057.0,7404.0
ANY,2016.10.03.,1058.0,13940.0
ANY,2016.10.04.,1063.0,2565.0
ANY,2016.10.05.,1063.0,2626.0
ANY,2016.10.06.,1068.0,3550.0
ANY,2016.10.07.,1068.0,20.0
ANY,2016.10.10.,1069.0,1706.0
ANY,2016.10.11.,1065.0,2478.0
ANY,2016.10.12.,1066.0,2676.0
ANY,2016.10.13.,1064.0,2283.0
ANY,2016.10.14.,1059.0,7647.0
ANY,2016.10.17.,1065.0,4276.0
ANY,2016.10.18.,1060.0,1099.0
ANY,2016.10.19.,1070.0,8083.0
ANY,2016.10.20.,1065.0,7867.0
ANY,2016.10.21.,1070.0,9727.0
ANY,2016.10.24.,1067.0,9674.0
ANY,2016.10.25.,1066.0,1843.0
ANY,2016.10.26.,1064.0,2749.0
ANY,2016.10.27.,1065.0,4741.0
ANY,2016.10.28.,1065.0,6688.0
ANY,2016.11.02.,1072.0,4551.0
ANY,2016.11.03.,1066.0,1751.0
ANY,2016.11.04.,1068.0,1537.0
ANY,2016.11.07.,1074.0,11281.0
ANY,2016.11.08.,1066.0,4868.0
ANY,2016.11.09.,1063.0,13298.0
ANY,2016.11.10.,1070.0,27325.0
ANY,2016.11.11.,1070.0,39091.0
ANY,2016.11.14.,1070.0,81421.0
ANY,2016.11.15.,1067.0,931.0
ANY,2016.11.16.,1074.0,5042.0
ANY,2016.11.17.,1073.0,9501.0
ANY,2016.11.18.,1073.0,39317.0
ANY,2016.11.21.,1073.0,126323.0
ANY,2016.11.22.,1078.0,32356.0
ANY,2016.11.23.,1072.0,22908.0
ANY,2016.11.24.,1072.0,15017.0
ANY,2016.11.25.,1079.0,9358.0
ANY,2016.11.28.,1074.0,8331.0
ANY,2016.11.29.,1074.0,2942.0
ANY,2016.11.30.,1075.0,9260.0
ANY,2016.12.01.,1075.0,50859.0
ANY,2016.12.02.,1074.0,23130.0
ANY,2016.12.05.,1074.0,19657.0
ANY,2016.12.06.,1075.0,35614.0
ANY,2016.12.07.,1081.0,5243.0
ANY,2016.12.08.,1089.0,15865.0
ANY,2016.12.09.,1088.0,35638.0
ANY,2016.12.12.,1085.0,5231.0
ANY,2016.12.13.,1093.0,18347.0
ANY,2016.12.14.,1105.0,23191.0
ANY,2016.12.15.,1109.0,16660.0
ANY,2016.12.16.,1115.0,18700.0
ANY,2016.12.19.,1113.0,6461.0
ANY,2016.12.20.,1120.0,15931.0
ANY,2016.12.21.,1126.0,10703.0
ANY,2016.12.22.,1135.0,21204.0
ANY,2016.12.23.,1134.0,7671.0
ANY,2016.12.27.,1135.0,4157.0
ANY,2016.12.28.,1135.0,11177.0
ANY,2016.12.29.,1133.0,9350.0
ANY,2016.12.30.,1137.0,5581.0
ANY,2017.01.02.,1134.0,9568.0
ANY,2017.01.03.,1144.0,13354.0
ANY,2017.01.04.,1164.0,35632.0
ANY,2017.01.05.,1177.0,40187.0
ANY,2017.01.06.,1181.0,22481.0
ANY,2017.01.09.,1195.0,49190.0
ANY,2017.01.10.,1205.0,55778.0
ANY,2017.01.11.,1228.0,52185.0
ANY,2017.01.12.,1218.0,43699.0
ANY,2017.01.13.,1207.0,16216.0
ANY,2017.01.16.,1209.0,17080.0
ANY,2017.01.17.,1201.0,11210.0
ANY,2017.01.18.,1205.0,6566.0
ANY,2017.01.19.,1210.0,3738.0
ANY,2017.01.20.,1210.0,10793.0
ANY,2017.01.23.,1210.0,3874.0
ANY,2017.01.24.,1207.0,4080.0
ANY,2017.01.25.,1209.0,12675.0
ANY,2017.01.26.,1207.0,10083.0
ANY,2017.01.27.,1209.0,12935.0
ANY,2017.01.30.,1208.0,12543.0
ANY,2017.01.31.,1211.0,3229.0
ANY,2017.02.01.,1205.0,51345.0
ANY,2017.02.02.,1203.0,2264.0
ANY,2017.02.03.,1203.0,753.0
ANY,2017.02.06.,1204.0,6380.0
ANY,2017.02.07.,1213.0,2475.0
ANY,2017.02.08.,1220.0,16677.0
ANY,2017.02.09.,1216.0,3147.0
ANY,2017.02.10.,1214.0,6583.0
ANY,2017.02.13.,1230.0,17195.0
ANY,2017.02.14.,1245.0,36327.0
ANY,2017.02.15.,1261.0,19385.0
ANY,2017.02.16.,1254.0,19123.0
ANY,2017.02.17.,1255.0,8317.0
ANY,2017.02.20.,1263.0,6321.0
ANY,2017.02.21.,1261.0,9414.0
ANY,2017.02.22.,1271.0,8531.0
ANY,2017.02.23.,1268.0,5668.0
ANY,2017.02.24.,1258.0,32338.0
ANY,2017.02.27.,1273.0,12504.0
ANY,2017.02.28.,1262.0,9568.0
ANY,2017.03.01.,1272.0,14799.0
ANY,2017.03.02.,1269.0,5419.0
ANY,2017.03.03.,1263.0,8172.0
ANY,2017.03.06.,1265.0,5072.0
ANY,2017.03.07.,1278.0,76880.0
ANY,2017.03.08.,1270.0,20355.0
ANY,2017.03.09.,1314.0,54747.0
ANY,2017.03.10.,1350.0,49263.0
ANY,2017.03.13.,1362.0,17186.0
ANY,2017.03.14.,1360.0,12909.0
ANY,2017.03.16.,1373.0,14728.0
FHB,2014.11.05.,720.0,3036.0
FHB,2014.11.06.,729.0,24467.0
FHB,2014.11.07.,723.0,5040.0
FHB,2014.11.10.,746.0,90698.0
FHB,2014.11.11.,734.0,16497.0
FHB,2014.11.12.,728.0,10404.0
FHB,2014.11.13.,736.0,13770.0
FHB,2014.11.14.,730.0,17991.0
FHB,2014.11.17.,734.0,3375.0
FHB,2014.11.18.,732.0,8247.0
FHB,2014.11.19.,729.0,12734.0
FHB,2014.11.20.,726.0,6280.0
FHB,2014.11.21.,718.0,24492.0
FHB,2014.11.24.,720.0,6635.0
FHB,2014.11.25.,720.0,3318.0
FHB,2014.11.26.,715.0,21393.0
FHB,2014.11.27.,718.0,5955.0
FHB,2014.11.28.,723.0,2102.0
FHB,2014.12.01.,748.0,87047.0
FHB,2014.12.02.,748.0,42466.0
FHB,2014.12.03.,741.0,7306.0
FHB,2014.12.04.,738.0,14309.0
FHB,2014.12.05.,736.0,5233.0
FHB,2014.12.08.,734.0,2055.0
FHB,2014.12.09.,729.0,34687.0
FHB,2014.12.10.,728.0,1908.0
FHB,2014.12.11.,721.0,26626.0
FHB,2014.12.12.,720.0,7491.0
FHB,2014.12.15.,720.0,15509.0
FHB,2014.12.16.,701.0,61529.0
FHB,2014.12.17.,700.0,40045.0
FHB,2014.12.18.,710.0,26844.0
FHB,2014.12.19.,700.0,37221.0
FHB,2014.12.22.,700.0,36277.0
FHB,2014.12.23.,694.0,7278.0
FHB,2014.12.29.,694.0,22157.0
FHB,2014.12.30.,695.0,22925.0
FHB,2015.01.05.,688.0,7530.0
FHB,2015.01.06.,690.0,16778.0
FHB,2015.01.07.,698.0,2469.0
FHB,2015.01.08.,715.0,16971.0
FHB,2015.01.09.,700.0,7526.0
FHB,2015.01.12.,702.0,905.0
FHB,2015.01.13.,706.0,15088.0
FHB,2015.01.14.,706.0,1967.0
FHB,2015.01.15.,673.0,56670.0
FHB,2015.01.16.,675.0,22993.0
FHB,2015.01.19.,685.0,5982.0
FHB,2015.01.20.,695.0,22158.0
FHB,2015.01.21.,690.0,13084.0
FHB,2015.01.22.,692.0,11204.0
FHB,2015.01.23.,688.0,12304.0
FHB,2015.01.26.,681.0,11226.0
FHB,2015.01.27.,676.0,14983.0
FHB,2015.01.28.,692.0,47986.0
FHB,2015.01.29.,695.0,105749.0
