Név,Dátum,Nyitó ár,Maximum ár,Minimum ár,Utolsó ár
BUX,2012.12.17.,17835.14,17846.5,17570.48,17615.68
BUX,2012.12.18.,17689.38,17799.74,17613.01,17799.74
BUX,2012.12.19.,17804.22,17913.48,17719.64,17807.41
BUX,2012.12.20.,17753.33,17868.31,17697.59,17862.1
BUX,2012.12.21.,17730.71,17948.31,17717.34,17948.31
BUX,2012.12.27.,17847.11,18143.36,17796.36,18069.89
BUX,2012.12.28.,18160.58,18203.38,17995.56,18173.2
BUX,2013.01.02.,18255.36,18487.51,18255.36,18487.51
BUX,2013.01.03.,18464.82,18626.78,18367.44,18626.78
BUX,2013.01.04.,18554.7,18676.52,18532.38,18660.29
BUX,2013.01.07.,18646.07,18861.65,18576.93,18774.87
BUX,2013.01.08.,18702.82,18821.32,18592.05,18650.14
BUX,2013.01.09.,18694.02,18878.02,18694.02,18838.89
BUX,2013.01.10.,18879.51,19006.65,18814.24,18871.93
BUX,2013.01.11.,18921.55,18999.53,18840.82,18999.53
BUX,2013.01.14.,19031.29,19209.22,19023.65,19140.05
BUX,2013.01.15.,19122.83,19150.58,18871.65,19012.51
BUX,2013.01.16.,18987.96,19186.94,18924.95,19186.94
BUX,2013.01.17.,19232.19,19656.77,19193.92,19508.91
BUX,2013.01.18.,19589.93,19634.29,19400.75,19585.15
BUX,2013.01.21.,19616.31,19664.12,19434.24,19664.12
BUX,2013.01.22.,19593.14,19602.44,19162.38,19211.19
BUX,2013.01.23.,19209.39,19354.48,19168.52,19168.52
BUX,2013.01.24.,19172.96,19240.67,19098.48,19184.75
BUX,2013.01.25.,19176.19,19314.9,19112.41,19297.08
BUX,2013.01.28.,19291.75,19445.53,19231.29,19445.53
BUX,2013.01.29.,19429.39,19519.45,19325.94,19506.04
BUX,2013.01.30.,19555.85,19661.87,19387.33,19394.57
BUX,2013.01.31.,19382.82,19456.97,19269.67,19368.02
BUX,2013.02.01.,19356.13,19456.94,19313.19,19358.16
BUX,2013.02.04.,19392.28,19431.69,19090.21,19090.21
BUX,2013.02.05.,19122.74,19264.86,19076.6,19264.86
BUX,2013.02.06.,19294.36,19362.41,19137.94,19238.25
BUX,2013.02.07.,19204.7,19294.46,19103.81,19103.81
BUX,2013.02.08.,18999.67,19116.35,18898.82,19023.39
BUX,2013.02.11.,19071.61,19197.47,18848.16,19067.18
BUX,2013.02.12.,18988.71,19121.99,18947.48,19101.09
BUX,2013.02.13.,19184.06,19305.31,19178.72,19237.08
BUX,2013.02.14.,19233.88,19233.88,18748.56,18869.76
BUX,2013.02.15.,18850.65,18947.3,18764.19,18822.96
BUX,2013.02.18.,18835.14,19076.83,18835.14,19076.83
BUX,2013.02.19.,19125.52,19236.02,19082.12,19236.02
BUX,2013.02.20.,19254.05,19277.88,19072.61,19095.16
BUX,2013.02.21.,18941.67,18986.21,18710.68,18749.84
BUX,2013.02.22.,18808.15,18929.03,18791.18,18866.7
BUX,2013.02.25.,18915.49,18995.03,18820.96,18820.96
BUX,2013.02.26.,18595.57,18595.57,18371.1,18474.2
BUX,2013.02.27.,18555.59,18600.49,18442.22,18509.4
BUX,2013.02.28.,18743.51,18834.52,18675.77,18804.96
BUX,2013.03.01.,18773.93,18900.22,18670.9,18846.94
BUX,2013.03.04.,18760.8,18812.73,18620.06,18620.06
BUX,2013.03.05.,18668.97,18876.15,18651.63,18836.16
BUX,2013.03.06.,19037.12,19161.07,18923.82,18923.82
BUX,2013.03.07.,18963.45,19165.98,18942.39,19073.56
